ID,CSA2010,Affordability Index - Mortgage,Affordability Index - Rent,High School Completion Rate,High School Dropout/Withdrawl Rate,Median Household Income,Median Number of Days on the Market,Median Price of Homes Sold,"Neighborhood Businesses per 1,000 Residents (NAICS Sectors)",Number of Businesses by Selected Neighborhood Industry (NAICS Sectors),"Number of Businesses that are Arts-Related per 1,000 Residents",Number of Businesses with Under 50 Employees,Number of Children (aged 0-6) Tested for Elevated Blood Lead Levels,Number of Homes Sold,Number of Students Ever Attended 1st - 5th Grade,Number of Students Ever Attended 6th - 8th Grade,Number of Students Ever Attended 9th - 12th Grade,Number of Total Jobs Filled by Employees ,"Part 1 Crime Rate per 1,000 Residents",Percent of 1st-5th Grade Students that are Chronically Absent (Missing at least 20 days),Percent of 6th-8th Grade Students that are Chronically Absent (Missing at least 20 days),Percent of 9th-12th Grade Students that are Chronically Absent (Missing at least 20 days),Percent of Babies Born with a Satisfactory Birth Weight,Percent of Births Delivered at Term (37-42 Weeks),Percent of Births Where the Mother Received Early Prenatal Care (First Trimester),Percent of Businesses that are 1 Year old or less,Percent of Businesses that are 2 Years old or less,Percent of Businesses that are 4 Years old or less,Percent of Children (aged 0-6) with Elevated Blood Lead Levels,"Percent of Commercial Properties with Rehab Permits Above $5,000",Percent of Employed Population with Travel Time to Work of 0-14 Minutes,Percent of Employed Population with Travel Time to Work of 15-29 Minutes,Percent of Employed Population with Travel Time to Work of 30-44 Minutes,Percent of Employed Population with Travel Time to Work of 45 Minutes and Over,Percent of Employed Residents who Work Outside the City,Percent of Homes Weatherized,"Percent of Households Earning $25,000 to $40,000","Percent of Households Earning $40,000 to $60,000","Percent of Households Earning $60,000 to $75,000","Percent of Households Earning Less than $25,000","Percent of Households Earning More than $75,000",Percent of Students that are African American (non-Hispanic),Percent of Students that are Hispanic,Percent of Students that are White (non-Hispanic),Percent Population 16-64 Employed,Percent Population 16-64 Not in Labor Force,Percent Population 16-64 Unemployed and Looking for Work,Percent Residential Properties that do Not Receive Mail,Percentage of 3rd Grade Students Passing MSA Math,Percentage of 3rd Grade Students Passing MSA Reading,Percentage of 5th Grade Students Passing MSA Math,Percentage of 5th Grade Students Passing MSA Reading,Percentage of 8th Grade Students Passing MSA Math,Percentage of 8th Grade Students Passing MSA Reading,Percentage of Housing Units that are Owner-Occupied,Percentage of Population aged 16-19 in School and/or Employed,Percentage of Properties Under Mortgage Foreclosure,"Percentage of Properties with Rehabilitation Permits Exceeding $5,000",Percentage of Residential Properties that are Vacant and Abandoned,Percentage of Residential Properties with Housing Violations (Excluding Vacants),Percentage of Students Passing H.S.A. Algebra,"Rate of Clogged Storm Drain Reports per 1,000 Residents","Rate of Dirty Streets and Alleys Reports per 1,000 Residents","Teen Pregnancy Rate per 1,000 Females (aged 15-19)",Total Employment in Arts-Related Businesses,Total Number of Businesses,Total Number of Commercial Properties,Total number of Employees by Selected Neighborhood Industry (NAICS Sectors),Total Number of Residential Properties,Unemployment Rate,"Violent Crime Rate per 1,000 Residents"
11,Cross-Country/Cheswolde,43.60960496,42.77456647,95,2.158273381,55964.31579,36,"200,000.00",12.96608869,169,0.537056928,257,425,105,214,133,139,703,23.70722725,6.542056075,17.29323308,22.3,95.89041096,95.54794521,59.5890411,7.692307692,14.65201465,31.13553114,0,20.83333333,17.91703442,40.30008826,25.4368932,16.34598411,57.83715548,0.153444837,15.8487,$19 ,12.34317343,18.357934,34.3,79.22,6.790123457,10.1,68.26756019,27.00421941,4.728220402,0.626631854,36.36363636,41.17647059,15.38461538,25.64102564,8,31.25,82.29665072,95.72763685,1.093643199,3.3,0.14,0.86,15,1.074113856,4.986957189,6.7,12,273,24,815,2926,5.65701559,0.920669019
12,Dickeyville/Franklintown,33.51648352,57.0941337,78.94736842,3.076923077,35773.04124,66,"210,000.00",4.389173372,18,0.243842965,39,95,20,229,87,130,212,31.94342843,17.03056769,9.195402299,36.2,89.23076923,87.69230769,55.38461538,7.142857143,11.9047619,42.85714286,0,16.66666667,8.789885611,38.47080072,26.55027092,26.18904275,60.37251124,0.243842965,17.0362,$17 ,10.38506418,37.747958,17.4,97.76,0.67264574,1.1,66.76264912,29.78198272,3.455368161,1.024590164,26.82926829,31.70731707,8.888888889,6.666666667,0,13.63636364,66.87306502,88.54961832,3.405572755,5,1.86,2.79,4.166666667,1.950743721,8.778346745,21.1,3,42,30,97,323,4.197901049,7.071445989
13,Dorchester/Ashburton,43.67293965,58.788774,79.6875,2.30125523,38682.89159,29,"84,000.00",9.927032072,117,0.084846428,169,107,127,656,344,478,1161,50.31393178,19.05487805,20.86956522,35.4,82.60869565,81.88405797,43.47826087,4.444444444,15,35,6.542056075,8.547008547,14.65327126,37.63783386,24.89585886,22.81303602,52.91952895,1.103003564,19.9122,$19 ,4.897204897,31.462231,25.1,97.3,1.555104801,0.7,54.30660888,30.07854821,15.6148429,7.560467724,15.17857143,29.46428571,9.433962264,12.26415094,4.12371134,7.843137255,67.24137931,95.10309278,2.980713033,3.7,3.48,3.74,8.064516129,1.612082131,36.65365688,25.8,6,180,117,789,3422,19.18469218,12.55727134
14,Downtown/Seton Hill,42.85714286,50.80772886,90,6.451612903,46132.86691,63,"215,000.00",361.929879,2333,9.928637915,2902,118,33,120,68,62,78158,268.2283587,21.66666667,17.64705882,45.2,90.58823529,88.23529412,50.58823529,8.851522843,15.41878173,36.16751269,0,22.97628782,32.13017751,39.46745562,17.75147929,10.65088757,40.74784276,0.155134967,14.0181,$18 ,10.18437226,31.987123,25.4,77.2,4.4,12.8,66.10965077,30.02253098,3.86781825,0.979667283,15,10.52631579,0,5.555555556,9.090909091,23.07692308,37.55458515,91.26213592,2.474526929,3.2,11.64,7.59,0,4.80918399,57.55507291,10.9,1139,3152,1223,63924,687,4.770727189,79.42910332
15,Edmondson Village,48.32618026,61.19257087,78.07017544,4,38042.37783,29,"45,500.00",6.835443038,54,0.253164557,68,214,83,471,269,425,176,42.15189873,14.01273885,15.24163569,40.5,87.25490196,87.25490196,47.05882353,8.333333333,12.5,29.16666667,0,12.12121212,9.002647838,34.86319506,29.44983819,26.68431892,56.82997118,1.139240506,24.3252,$22 ,7.652886915,28.629997,17,98.28,1.030042918,0.6,63.50832266,22.09621365,14.39546369,8.796007486,12.87128713,19,10.38961039,7.792207792,5.405405405,9.87654321,64.53549982,82.3255814,1.942776404,2.3,3.43,2.01,1.612903226,1.012658228,33.41772152,34,9,72,33,276,2831,16.81623932,9.620253165
16,Fells Point,25.30909091,32.30887438,72.72727273,5.208333333,82263.22297,40,"255,000.00",39.60615112,358,1.327580485,492,177,216,224,67,96,7771,80.20798761,7.589285714,16.41791045,44.8,93.38235294,91.17647059,57.35294118,6.476190476,14.0952381,34.0952381,0,16.27906977,20.25215448,47.04755825,16.15065432,16.54963294,45.05275732,1.10631707,10.7221,$14 ,10.89715536,12.844639,51.9,22.74,46.51162791,27.90697674,81.83291771,13.60349127,4.563591022,3.214784904,14.89361702,27.65957447,13.95348837,25.58139535,33.33333333,23.80952381,51.3671875,71.69811321,0.68359375,4.9,0.76,1.78,12.5,3.429582918,53.4351145,11.1,97,525,516,4994,4096,5.042016807,16.59475606
17,Forest Park/Walbrook,35.53639847,53.87840671,75.28089888,1.758241758,39204.76636,46,"50,150.00",11.37171286,112,0.304599452,148,NA,93,623,325,455,448,51.68037364,12.19903692,16,37.8,90.16393443,87.70491803,43.44262295,7.947019868,13.24503311,29.13907285,NA,9.615384615,7.972068665,44.13732907,26.41838813,21.47221414,54.86223663,0.507665753,16.6756,$21 ,5.620985011,33.779443,23.2,97.29,1.639344262,0.85531005,58.52687459,34.9535501,6.519575315,9.957446809,15.625,24.21875,14.89361702,8.510638298,5.319148936,8.653846154,56.44320945,86.13333333,2.709274053,3.3,6.32,4.41,6.172839506,2.639861915,49.04051173,37.2,7,151,52,572,2879,8.282402529,11.98091177
18,Glen-Fallstaff,47.48235294,50.26193248,82.0754717,0.865800866,39690.75067,35,"63,500.00",25.47941531,380,0.335255465,554,NA,142,648,395,462,7641,55.0489473,13.58024691,18.48101266,32.3,90.67357513,89.11917098,44.55958549,4.013377926,12.20735786,25.58528428,NA,9.580838323,18.18322741,35.978918,28.22818168,17.60967292,56.22807018,0.670510929,15.1663,$17 ,7.293256027,35.18462,25.3,80.6,13.02325581,4.9,59.20022905,29.18495896,11.61481199,4.683278295,21.64179104,23.88059701,11.49425287,16.09195402,4.424778761,17.55725191,73.67571928,85.67901235,1.559559021,2.8,1.34,2.98,12.90322581,1.005766394,21.05404318,17.1,90,598,334,3809,3719,14.55741627,13.47726968
19,Greater Charles Village/Barclay,37.81439722,52.05342903,83.33333333,2.164502165,32241.13822,33,"167,000.00",37.15453603,609,1.586236349,796,72,130,390,186,231,12482,71.13659935,12.82051282,15.59139785,39.8,88.48920863,85.61151079,44.60431655,8.628841608,15.48463357,35.10638298,0,18.68852459,29.66918855,33.95638629,22.07387628,14.30054888,46.60823839,0.549081813,16.4285,$16 ,5.761997894,41.79329,20.4,82.53,5.700123916,8.178438662,49.97822932,44.12917271,5.892597968,4.965753425,21.42857143,22.85714286,16.39344262,13.1147541,5.660377358,17.46031746,43.1676175,97.52616556,1.005161641,5.2,5.41,3.89,10.52631579,1.098163626,86.08382649,5.8,323,846,610,5088,3681,8.154247841,21.41419071
20,Greater Govans,43.5154707,51.88968335,81.65137615,2.734375,37457.31435,45.5,"50,000.00",13.95000468,149,0.280872577,199,NA,98,699,389,512,643,48.96545267,13.44778255,12.08226221,39.6,88.0794702,85.43046358,46.35761589,9.85915493,17.84037559,36.15023474,NA,4.166666667,13.99453144,36.21675367,23.83793189,25.950783,52.841295,1.778859657,18.4634,$18 ,10.90458488,34.522924,18.5,96.31,0.9375,2.1,56.34101513,32.6169942,11.04199067,11.27419698,14.48275862,18.62068966,5.64516129,12.09677419,3.96039604,8.333333333,59.23344948,68.57585139,2.76065398,2.6,4.96,2.68,3.296703297,3.276846737,58.14062354,46.3,16,213,120,840,3731,14.19741865,11.32852729
21,Greater Mondawmin,31.33940182,58.8028169,75,2.247191011,35968.39267,34,"36,100.00",17.48551813,163,0.536365587,224,222,60,610,273,445,4475,104.2694701,16.39344262,16.48351648,37.8,83.33333333,84.92063492,43.65079365,5.857740586,15.48117155,30.9623431,0,22.14285714,11.59105034,37.63206961,22.24984462,28.52703543,51.80455303,0.643638704,17.5607,$16 ,11.23882503,37.356322,17.5,98.12,0.677710843,0.9,48.66843171,39.21507553,12.11649276,17.55415162,17.94871795,24.78632479,11.9266055,8.256880734,4.347826087,3.896103896,49.970964,69.79768786,1.916376307,1.5,12.31,3.37,7.272727273,4.07637846,67.79661017,16.1,18,239,140,1248,3444,16.03132083,28.4273761
22,Greater Roland Park/Poplar Hill,31.67892157,36.25792812,92.85714286,0,105555.3333,27,"269,900.00",40.39582486,298,1.355564593,373,65,123,249,98,89,3809,27.92463061,2.81124498,2.040816327,5.6,98.03921569,92.15686275,74.50980392,8.706467662,15.67164179,28.35820896,0,17.39130435,23.09659091,43.49431818,20.17045455,13.23863636,47.25832013,0,6.6747,$9 ,11.96632592,11.395069,60.5,21.79,3.211009174,62.4,71.51803066,26.49535737,1.986611963,2.427839223,81.25,85.41666667,61.53846154,67.30769231,0,68.96551724,75.35560701,100,0.231558055,4.2,0.07,0.36,60,8.540056934,9.082282771,0,48,402,115,2530,3023,2.440318302,4.202250237
23,Greater Rosemont,48.94514768,57.6506432,71.22641509,4.110898662,31759.05892,54,"17,500.00",10.38475518,200,0.155771328,264,189,137,1453,719,1046,1566,63.24315904,16.58637302,15.41666667,45.2,84.82490272,88.71595331,36.57587549,5.985915493,18.66197183,34.50704225,0,6.129032258,10.87635495,35.32978137,28.69740952,25.09645416,52.39321418,1.038475518,21.3558,$16 ,8.579680598,39.585457,14.1,98.01,1.118359739,0.6,51.58592849,36.68781238,11.72625913,13.43978006,10.86142322,12.45283019,5.776173285,6.859205776,4.524886878,7.327586207,45.40866396,69.53441296,1.556147484,1.4,16.75,2.75,1.604278075,4.465444727,79.28760579,39.8,11,284,310,895,7133,15.28247526,15.52520899
24,Greenmount East,48.9291598,56.14730878,77.27272727,7.025761124,23625.75692,40,"39,500.00",12.09677419,99,0,125,96,52,644,300,427,676,76.00195503,22.67080745,24.33333333,50.4,80.86956522,80,48.69565217,7.518796992,10.52631579,18.79699248,6.25,6.451612903,11.39294927,34.56577816,25.96732588,28.07394669,49.25521351,4.276637341,16.6383,$16 ,5.489260143,52.369587,9.8,97.59,1.458789205,0.5,46.59476733,37.46754544,15.93768724,16.32124352,11.66666667,14.28571429,2.97029703,7.920792079,3.529411765,4.494382022,28.0332681,67.37804878,0.807240705,2.2,32.51,4.38,11.29032258,4.276637341,170.8211144,38.6,0,133,186,521,4088,20.0805234,22.60508309
25,Hamilton,41.7828201,53.0098832,79.7979798,1.83299389,63600.22009,36.5,"88,500.00",22.38117213,291,0.6922012,382,87,186,645,384,491,1422,47.53114905,12.09302326,11.71875,27.9,88.65248227,88.65248227,59.57446809,7,14.25,29,0,15.02590674,9.094903339,39.95313415,29.08611599,21.86584651,55.64903846,0.922934933,14.6759,$13 ,12.54087324,19.061358,40.5,86.05,1.907894737,10.3,75.80610022,17.53812636,6.65577342,4.721030043,16.66666667,24.16666667,8.148148148,13.33333333,4.347826087,21.48148148,76.37488543,97.97979798,3.024747938,4.1,0.99,1.21,12.82051282,1.922781111,23.61175204,16.8,27,400,193,1619,4364,7.39440881,9.460083064
26,Harbor East/Little Italy,39.85849057,42.37695078,54.54545455,3.286384977,39573.55319,41,"284,000.00",56.96319586,308,2.404290734,417,48,55,415,184,213,8235,157.7584613,15.90361446,15.76086957,44.6,86.48648649,82.43243243,59.45945946,7.488986784,13.65638767,34.5814978,0,14.34511435,33.22841727,25.44964029,18.79496403,22.52697842,43.20987654,0.924727205,10.8829,$12 ,5.594405594,39.291958,32.7,88.55,8.620689655,2.1,55.77925154,31.52534344,12.69540502,3.608630952,13.18681319,16.48351648,7.547169811,7.547169811,3.571428571,7.272727273,36.92579505,77.08978328,0.647820966,2.5,1.65,3.7,0,2.219345293,33.84501572,28.2,97,454,481,8106,1698,15.73693482,28.29665249
27,Harford/Echodale,37.65129212,45.88938714,82.90598291,2.018348624,52708.0625,41,"144,450.00",9.204822139,155,0.296929746,233,268,238,769,448,545,2148,45.667795,11.18335501,14.0625,26.2,87.39837398,87.39837398,57.31707317,9.236947791,15.26104418,34.93975904,0,9.625668449,10.3725347,40.17531045,27.01485269,22.43730217,60.07981618,0.534473544,15.253,$20 ,11.86008107,21.288095,32.1,84.79,4.48354143,9.9,73.16963483,19.69778737,7.132577802,5.336426914,30.82706767,30.07518797,16.52892562,15,4.032258065,23.17880795,78.13861386,90.29850746,2.376237624,3.6,1.21,1.39,0,1.959736326,18.11271453,31.7,10,249,187,1046,5050,8.134167607,9.97683948
28,Highlandtown,25.12820513,52.95663601,78.26086957,1.898734177,68702.25,29.5,"265,000.00",35.72413793,259,0.965517241,355,115,196,357,143,158,3343,94.89655172,12.60504202,16.78321678,39.2,89.3081761,89.3081761,55.97484277,6.052631579,13.68421053,28.68421053,0,11.81318681,20.81935793,37.27839003,21.08289411,20.81935793,52.55062804,0.275862069,9.8285,$14 ,6.491120637,22.045315,47.3,16.11,62.46200608,18.7,78.29794956,17.14752314,4.554527309,5.359260138,15.15151515,16.66666667,10.9375,17.1875,25,25,58.29959514,52.55474453,0.96543133,6.3,1.15,1.76,12.5,2.068965517,146.8965517,69,40,380,364,2020,3211,4.977196113,17.37931034
29,Howard Park/West Arlington,48.6535009,61.36882129,75.86206897,3.532608696,41821.9247,41,"78,000.00",14.3474662,156,0.183941874,220,130,109,532,235,368,14267,48.4686839,14.66165414,15.74468085,31.3,80.23255814,80.23255814,43.02325581,6.302521008,15.54621849,33.61344538,0,16.55629139,14.17806308,32.8495674,28.24448786,24.72788166,57.21734358,1.379564058,15.5004,$18 ,10.63456233,32.982192,22.6,96.74,1.850220264,0.6,57.08937001,34.25036627,8.660263715,9.221967963,15.29411765,15.29411765,8.653846154,14.42307692,1.666666667,14.70588235,72.25745086,86.27906977,3.265694356,4.2,2.69,3.05,3.125,2.759128116,25.75186241,14,4,238,151,2244,3154,10.82180635,10.94454152
30,Inner Harbor/Federal Hill,28.46486062,50.62700496,62.5,9.302325581,88465.20481,43,"290,000.00",44.4185142,571,1.86697783,731,210,321,229,89,86,14659,65.88875924,13.97379913,11.23595506,43,93.06358382,93.06358382,71.0982659,8.050314465,16.60377358,34.08805031,0,15.70247934,22.64720684,42.31253145,23.37695018,11.66331152,53.47432024,0.233372229,6.9938,$12 ,6.948821852,18.940417,55.5,47.03,3.96039604,42.8,79.80361956,15.69118213,4.505198306,1.946879835,50,47.82608696,32.14285714,28.57142857,8.695652174,38.70967742,59.04539386,94.67455621,0.300400534,4.9,0.52,0.45,8.333333333,2.878257487,39.75106962,10,564,795,484,6982,5992,5.021459227,11.04628549
31,Lauraville,32.70663356,50.14925373,84.54545455,3.493449782,66010.87744,36,"106,000.00",12.62934898,155,0.325918683,207,97,174,584,336,458,1497,41.8805508,16.43835616,12.20238095,27.5,92.91338583,92.12598425,59.84251969,3.571428571,12.05357143,28.125,0,7.633587786,10.14669927,41.93154034,29.72406567,18.19769473,52.99203255,0.733317037,12.0716,$15 ,14.51648112,16.852216,41.3,85.7,2.394775036,10.8,68.47801059,22.66866222,8.853327193,7.294534015,21.21212121,27.27272727,17.30769231,18.26923077,2.43902439,19.19191919,73.56424581,89.35698448,2.391061453,3.4,1.94,2.55,12.5,3.096227491,38.05100627,18.3,8,224,131,969,4475,10.22742386,8.066487411
32,Loch Raven,44.50431034,50.07699415,85.13513514,1.800327332,47461.85693,47,"104,400.00",10.71125335,164,0.261250082,196,287,105,931,507,611,3343,39.38344981,15.14500537,10.0591716,28,92.94117647,94.11764706,54.11764706,9.389671362,16.90140845,31.92488263,0,46,9.778766854,42.08666056,29.1530305,18.98154209,53.41130604,1.045000327,16.8529,$25 ,13.19455074,24.154294,20.4,96.93,2.049780381,0.536847243,63.9590039,25.81738099,10.22361511,2.336751915,19.27083333,27.60416667,14.12429379,18.6440678,1.680672269,11.11111111,77.743614,87.53056235,2.838221381,2,0.64,1.44,5.813953488,1.56750049,29.52125923,26.1,9,213,50,3677,4228,11.94694645,8.882502776
33,Madison/East End,38.28715365,66.29448709,82.65306122,4.60251046,26136.13636,42,"19,000.00",21.71957332,169,0.257036371,207,NA,63,697,352,478,429,83.02274772,19.51219512,20.45454545,52.7,85.40145985,83.21167883,43.06569343,5.140186916,15.42056075,32.24299065,NA,5.913978495,18.44476055,36.79468943,17.25936463,27.5011854,48.96579157,1.413700039,16.0423,$17 ,5.715658021,48.318924,12.8,91.36,6.22134905,1.5,43.04960196,41.27372933,15.67666871,12.09721464,8,11.2,5.263157895,7.518796992,0.952380952,6.422018349,24.31263516,73.59735974,1.884460921,2.7,19.89,2.91,1.369863014,5.654800154,221.1797969,53.2,6,214,186,816,3237,21.22719735,26.47474618
34,Medfield/Hampden/Woodberry/Remington,29.3369976,44.43317271,92.45283019,4.62633452,58644.17366,27,"184,950.00",33.24131585,578,2.012882448,816,215,314,490,245,281,14533,55.78559926,14.69387755,21.63265306,27,85.8974359,86.32478632,67.94871795,6.113033449,11.88004614,29.75778547,0,15.27001862,22.61337751,41.10581901,23.22427004,13.05653344,49.0186861,0.40257649,14.0143,$19 ,12.13901738,18.352294,36.5,24.31,6.692913386,58.7,78.14889964,15.92789137,5.92320899,3.499635455,43.15789474,35.78947368,16.85393258,23.59550562,12.6984127,28.75,64.75770925,72.94589178,1.101321586,3.5,0.73,1.81,17.07317073,2.933057281,43.24821716,36.8,152,867,537,4969,6810,6.56972215,10.69703244
35,Midtown,31.97093551,43.40728338,74.07407407,0.862068966,41170.46073,37,"220,000.00",52.86284953,794,3.595206391,1076,92,117,186,108,116,12836,87.54993342,16.66666667,20.37037037,34.5,86.31578947,82.10526316,60,7.192982456,14.38596491,34.29824561,0,12.71604938,28.77268117,40.79792629,13.9073594,16.52203313,43.45755113,0.399467377,14.4063,$14 ,10.23155013,34.709707,26.9,70.73,7.317073171,16.8,71.13565922,23.93705794,4.927282842,3.82098927,19.35483871,36.66666667,22.22222222,25.92592593,19.04761905,32.25806452,41.12176693,97.21485411,1.278698053,5.6,2.7,3.47,13.04347826,1.664447403,48.3355526,3.2,604,1140,810,6672,3441,5.919419515,19.64047936
36,Midway/Coldstream,43.17460317,62.26040978,83.03571429,3.422053232,30685.04815,44,"18,250.00",14.65087282,141,0.311720698,198,201,77,746,378,526,1179,79.80049875,19.97319035,24.07407407,44.3,83.60655738,85.24590164,53.27868852,6.161137441,13.27014218,26.06635071,4.975124378,6.049822064,13.12649165,36.03818616,17.1496761,33.6856461,53.06721456,2.909393184,13.0762,$21 ,7.745374726,44.653496,13.1,98,1.151515152,0.4,49.50307619,32.6549929,17.8419309,14.66052934,16.2601626,15.44715447,11.02941176,12.5,4.132231405,5.6,36.44973288,64.62715105,1.311316173,1,20.03,4.43,2.409638554,5.091438071,178.2003325,32.7,11,211,281,700,4118,21.65836844,23.48295927
37,Morrell Park/Violetville,35.58917197,54.78686233,79.59183673,4.566210046,35687.3625,41,"59,000.00",29.33958054,263,0.223114681,388,57,115,459,256,219,11153,67.04596162,22.0043573,27.734375,37,91.04477612,90.29850746,55.97014925,6.971153846,13.94230769,32.21153846,0,8.595387841,22.272,42.816,16.48,18.432,69.28876602,0.334672021,15.4797,$16 ,10.85932902,38.581519,19.3,31.16,6.745182013,55.4,60.10352379,31.03722875,8.859247462,5.779889153,24.41860465,22.09302326,4.938271605,8.641975309,10.14492754,12.85714286,67.81864299,61.38613861,2.282815472,1.2,2.16,1.43,10.52631579,1.450245426,41.72244534,73.9,4,416,477,6294,3154,10.84572264,14.0562249
38,Mount Washington/Coldspring,29.8394712,32.70833333,91.30434783,0,77390.18652,27,"265,000.00",30.76625387,159,1.160990712,198,88,64,212,86,80,3651,41.02167183,4.245283019,10.46511628,10,87.27272727,90.90909091,74.54545455,6.912442396,11.98156682,29.95391705,0,25.25252525,19.0227527,40.20887728,21.78291682,18.98545319,48.41810172,0.193498452,9.9625,$13 ,12.21342226,13.588995,51.3,48.41,3.174603175,39.2,80.26976161,15.49560853,4.234629862,1.045409997,70.73170732,77.5,54.76190476,64.28571429,0,42.85714286,82.02185792,80.73394495,0.983606557,4.5,0.11,0.76,35.29411765,3.289473684,21.09133127,0,29,217,99,5109,1830,4.735180638,4.643962848
39,North Baltimore/Guilford/Homeland,27.86946737,53.49956255,85.71428571,1.418439716,78174.8286,34,"305,000.00",11.85295465,207,0.572606505,282,179,195,291,132,141,4853,38.25011452,6.872852234,8.333333333,16.3,94.6969697,93.93939394,65.90909091,7.236842105,12.5,26.31578947,0,23.5042735,21.13323124,51.14854518,13.99136851,13.72685507,50.77969476,0,11.1396,$12 ,8.831543517,17.198269,51.1,32.8,3.368794326,55.9,56.78625893,39.18452524,4.029215828,1.263559423,72.22222222,77.77777778,42.85714286,52.08333333,23.80952381,50,74.72031403,100,0.490677134,4.2,0.37,0.35,12.5,3.378378378,17.23545579,0.8,51,304,234,1474,5095,5.580878266,4.466330738
40,Northwood,41.29666012,52.31660232,81.25,3.094777563,53974.25691,44,"120,000.00",6.489214685,108,0.420597248,163,229,142,700,346,517,3449,42.30006609,13,14.73988439,33.3,88.96103896,90.90909091,59.09090909,7.90960452,12.99435028,28.81355932,0,15.87301587,13.39582703,39.88509223,24.43302086,22.28605987,51.45274585,0.961365138,14.1052,$19 ,14.01093721,21.74241,31.1,96.42,1.599488164,1.5,53.69507324,37.8828229,8.422103862,3.739570918,27.20588235,25.92592593,23.80952381,19.84126984,4.716981132,15.83333333,80.43711163,94.93454752,2.056995929,2.4,0.79,2.17,6.666666667,2.763924773,31.84522021,6.7,51,177,63,2103,4667,11.5,10.5149312
41,Oldtown/Middle East,36.92946058,43.62163726,70.37037037,5.156950673,14417.90605,42,"94,250.00",46.70192596,468,0.798323521,551,111,48,817,355,446,27354,97.79463127,20.07343941,16.61971831,48.4,83.00653595,80.39215686,54.90196078,24.91803279,31.47540984,48.85245902,0,21.79226069,26.98282911,22.24039248,20.97301717,29.80376124,49.5823389,2.893922762,10.9464,$11 ,2.886115445,66.458658,9,95.86,3.028430161,0.5,41.35487061,47.63474534,11.01038404,3.424439009,9.81595092,9.202453988,3.361344538,5.882352941,0.925925926,5.504587156,37.35823883,62.70676692,1.267511674,4.5,26.62,3.28,6.25,3.392874963,44.30695539,44.5,156,610,491,6209,1499,14.80824651,29.93713202
